indicator,name,description,sources
CRS.P.T.100.C.910,", Grants, Project-type interventions, Administrative Costs of Donors",Bilateral Grants Project-type interventions Administrative Costs of Donors (Provider),['CRS']
CRS.P.T.100.C.930,", Grants, Project-type interventions, Refugees in Donor Countries",Bilateral Grants Project-type interventions Refugees in Donor Countries (Provider),['CRS']
CRS.P.T.100.C.998,", Grants, Project-type interventions, Unallocated / Unspecified",Bilateral Grants Project-type interventions Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.100.D.110,", Grants, Experts and other technical assistance, Education",Bilateral Grants Experts and other technical assistance Education (Provider),['CRS']
CRS.P.T.100.D.120,", Grants, Experts and other technical assistance, Health",Bilateral Grants Experts and other technical assistance Health (Provider),['CRS']
CRS.P.T.100.D.130,", Grants, Experts and other technical assistance, Population Policies/Programmes & Reproductive Health",Bilateral Grants Experts and other technical assistance Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.T.100.D.140,", Grants, Experts and other technical assistance, Water Supply & Sanitation",Bilateral Grants Experts and other technical assistance Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.100.D.150,", Grants, Experts and other technical assistance, Government & Civil Society",Bilateral Grants Experts and other technical assistance Government & Civil Society (Provider),['CRS']
CRS.P.T.100.D.160,", Grants, Experts and other technical assistance, Other Social Infrastructure & Services",Bilateral Grants Experts and other technical assistance Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.100.D.210,", Grants, Experts and other technical assistance, Transport & Storage",Bilateral Grants Experts and other technical assistance Transport & Storage (Provider),['CRS']
CRS.P.T.100.D.220,", Grants, Experts and other technical assistance, Communications",Bilateral Grants Experts and other technical assistance Communications (Provider),['CRS']
CRS.P.T.100.D.230,", Grants, Experts and other technical assistance, Energy",Bilateral Grants Experts and other technical assistance Energy (Provider),['CRS']
CRS.P.T.100.D.240,", Grants, Experts and other technical assistance, Banking & Financial Services",Bilateral Grants Experts and other technical assistance Banking & Financial Services (Provider),['CRS']
CRS.P.T.100.D.250,", Grants, Experts and other technical assistance, Business & Other Services",Bilateral Grants Experts and other technical assistance Business & Other Services (Provider),['CRS']
CRS.P.T.100.D.310,", Grants, Experts and other technical assistance, Agriculture, Forestry, Fishing","Bilateral Grants Experts and other technical assistance Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.100.D.320,", Grants, Experts and other technical assistance, Industry, Mining, Construction","Bilateral Grants Experts and other technical assistance Industry, Mining, Construction (Provider)",['CRS']
CRS.P.T.100.D.330,", Grants, Experts and other technical assistance, Trade Policies & Regulations",Bilateral Grants Experts and other technical assistance Trade Policies & Regulations (Provider),['CRS']
CRS.P.T.100.D.410,", Grants, Experts and other technical assistance, General Environment Protection",Bilateral Grants Experts and other technical assistance General Environment Protection (Provider),['CRS']
CRS.P.T.100.D.430,", Grants, Experts and other technical assistance, Other Multisector",Bilateral Grants Experts and other technical assistance Other Multisector (Provider),['CRS']
CRS.P.T.100.D.510,", Grants, Experts and other technical assistance, General Budget Support",Bilateral Grants Experts and other technical assistance General Budget Support (Provider),['CRS']
CRS.P.T.100.D.520,", Grants, Experts and other technical assistance, Development Food Assistance",Bilateral Grants Experts and other technical assistance Development Food Assistance (Provider),['CRS']
CRS.P.T.100.D.720,", Grants, Experts and other technical assistance, Emergency Response",Bilateral Grants Experts and other technical assistance Emergency Response (Provider),['CRS']
CRS.P.T.100.D.730,", Grants, Experts and other technical assistance, Reconstruction Relief & Rehabilitation",Bilateral Grants Experts and other technical assistance Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.T.100.D.740,", Grants, Experts and other technical assistance, Disaster Prevention & Preparedness",Bilateral Grants Experts and other technical assistance Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.T.100.D.910,", Grants, Experts and other technical assistance, Administrative Costs of Donors",Bilateral Grants Experts and other technical assistance Administrative Costs of Donors (Provider),['CRS']
CRS.P.T.100.D.998,", Grants, Experts and other technical assistance, Unallocated / Unspecified",Bilateral Grants Experts and other technical assistance Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.100.E.110,", Grants, Scholarships and student costs in donor countries, Education",Bilateral Grants Scholarships and student costs in donor countries Education (Provider),['CRS']
CRS.P.T.100.E.120,", Grants, Scholarships and student costs in donor countries, Health",Bilateral Grants Scholarships and student costs in donor countries Health (Provider),['CRS']
CRS.P.T.100.E.130,", Grants, Scholarships and student costs in donor countries, Population Policies/Programmes & Reproductive Health",Bilateral Grants Scholarships and student costs in donor countries Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.T.100.E.140,", Grants, Scholarships and student costs in donor countries, Water Supply & Sanitation",Bilateral Grants Scholarships and student costs in donor countries Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.100.E.150,", Grants, Scholarships and student costs in donor countries, Government & Civil Society",Bilateral Grants Scholarships and student costs in donor countries Government & Civil Society (Provider),['CRS']
CRS.P.T.100.E.160,", Grants, Scholarships and student costs in donor countries, Other Social Infrastructure & Services",Bilateral Grants Scholarships and student costs in donor countries Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.100.E.210,", Grants, Scholarships and student costs in donor countries, Transport & Storage",Bilateral Grants Scholarships and student costs in donor countries Transport & Storage (Provider),['CRS']
CRS.P.T.100.E.220,", Grants, Scholarships and student costs in donor countries, Communications",Bilateral Grants Scholarships and student costs in donor countries Communications (Provider),['CRS']
CRS.P.T.100.E.230,", Grants, Scholarships and student costs in donor countries, Energy",Bilateral Grants Scholarships and student costs in donor countries Energy (Provider),['CRS']
CRS.P.T.100.E.240,", Grants, Scholarships and student costs in donor countries, Banking & Financial Services",Bilateral Grants Scholarships and student costs in donor countries Banking & Financial Services (Provider),['CRS']
CRS.P.T.100.E.250,", Grants, Scholarships and student costs in donor countries, Business & Other Services",Bilateral Grants Scholarships and student costs in donor countries Business & Other Services (Provider),['CRS']
CRS.P.T.100.E.310,", Grants, Scholarships and student costs in donor countries, Agriculture, Forestry, Fishing","Bilateral Grants Scholarships and student costs in donor countries Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.100.E.320,", Grants, Scholarships and student costs in donor countries, Industry, Mining, Construction","Bilateral Grants Scholarships and student costs in donor countries Industry, Mining, Construction (Provider)",['CRS']
CRS.P.T.100.E.330,", Grants, Scholarships and student costs in donor countries, Trade Policies & Regulations",Bilateral Grants Scholarships and student costs in donor countries Trade Policies & Regulations (Provider),['CRS']
CRS.P.T.100.E.410,", Grants, Scholarships and student costs in donor countries, General Environment Protection",Bilateral Grants Scholarships and student costs in donor countries General Environment Protection (Provider),['CRS']
CRS.P.T.100.E.430,", Grants, Scholarships and student costs in donor countries, Other Multisector",Bilateral Grants Scholarships and student costs in donor countries Other Multisector (Provider),['CRS']
CRS.P.T.100.E.720,", Grants, Scholarships and student costs in donor countries, Emergency Response",Bilateral Grants Scholarships and student costs in donor countries Emergency Response (Provider),['CRS']
CRS.P.T.100.E.998,", Grants, Scholarships and student costs in donor countries, Unallocated / Unspecified",Bilateral Grants Scholarships and student costs in donor countries Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.100.G.110,", Grants, Administrative costs not included elsewhere, Education",Bilateral Grants Administrative costs not included elsewhere Education (Provider),['CRS']
CRS.P.T.100.G.120,", Grants, Administrative costs not included elsewhere, Health",Bilateral Grants Administrative costs not included elsewhere Health (Provider),['CRS']
CRS.P.T.100.G.130,", Grants, Administrative costs not included elsewhere, Population Policies/Programmes & Reproductive Health",Bilateral Grants Administrative costs not included elsewhere Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.T.100.G.140,", Grants, Administrative costs not included elsewhere, Water Supply & Sanitation",Bilateral Grants Administrative costs not included elsewhere Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.100.G.150,", Grants, Administrative costs not included elsewhere, Government & Civil Society",Bilateral Grants Administrative costs not included elsewhere Government & Civil Society (Provider),['CRS']
CRS.P.T.100.G.160,", Grants, Administrative costs not included elsewhere, Other Social Infrastructure & Services",Bilateral Grants Administrative costs not included elsewhere Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.100.G.220,", Grants, Administrative costs not included elsewhere, Communications",Bilateral Grants Administrative costs not included elsewhere Communications (Provider),['CRS']
CRS.P.T.100.G.310,", Grants, Administrative costs not included elsewhere, Agriculture, Forestry, Fishing","Bilateral Grants Administrative costs not included elsewhere Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.100.G.320,", Grants, Administrative costs not included elsewhere, Industry, Mining, Construction","Bilateral Grants Administrative costs not included elsewhere Industry, Mining, Construction (Provider)",['CRS']
CRS.P.T.100.G.410,", Grants, Administrative costs not included elsewhere, General Environment Protection",Bilateral Grants Administrative costs not included elsewhere General Environment Protection (Provider),['CRS']
CRS.P.T.100.G.430,", Grants, Administrative costs not included elsewhere, Other Multisector",Bilateral Grants Administrative costs not included elsewhere Other Multisector (Provider),['CRS']
CRS.P.T.100.G.520,", Grants, Administrative costs not included elsewhere, Development Food Assistance",Bilateral Grants Administrative costs not included elsewhere Development Food Assistance (Provider),['CRS']
CRS.P.T.100.G.720,", Grants, Administrative costs not included elsewhere, Emergency Response",Bilateral Grants Administrative costs not included elsewhere Emergency Response (Provider),['CRS']
CRS.P.T.100.G.730,", Grants, Administrative costs not included elsewhere, Reconstruction Relief & Rehabilitation",Bilateral Grants Administrative costs not included elsewhere Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.T.100.G.740,", Grants, Administrative costs not included elsewhere, Disaster Prevention & Preparedness",Bilateral Grants Administrative costs not included elsewhere Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.T.100.G.910,", Grants, Administrative costs not included elsewhere, Administrative Costs of Donors",Bilateral Grants Administrative costs not included elsewhere Administrative Costs of Donors (Provider),['CRS']
CRS.P.T.100.G.998,", Grants, Administrative costs not included elsewhere, Unallocated / Unspecified",Bilateral Grants Administrative costs not included elsewhere Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.100.H.110,", Grants, Other in-donor expenditures, Education",Bilateral Grants Other in-donor expenditures Education (Provider),['CRS']
CRS.P.T.100.H.120,", Grants, Other in-donor expenditures, Health",Bilateral Grants Other in-donor expenditures Health (Provider),['CRS']
CRS.P.T.100.H.140,", Grants, Other in-donor expenditures, Water Supply & Sanitation",Bilateral Grants Other in-donor expenditures Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.100.H.150,", Grants, Other in-donor expenditures, Government & Civil Society",Bilateral Grants Other in-donor expenditures Government & Civil Society (Provider),['CRS']
CRS.P.T.100.H.160,", Grants, Other in-donor expenditures, Other Social Infrastructure & Services",Bilateral Grants Other in-donor expenditures Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.100.H.310,", Grants, Other in-donor expenditures, Agriculture, Forestry, Fishing","Bilateral Grants Other in-donor expenditures Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.100.H.410,", Grants, Other in-donor expenditures, General Environment Protection",Bilateral Grants Other in-donor expenditures General Environment Protection (Provider),['CRS']
CRS.P.T.100.H.430,", Grants, Other in-donor expenditures, Other Multisector",Bilateral Grants Other in-donor expenditures Other Multisector (Provider),['CRS']
CRS.P.T.100.H.720,", Grants, Other in-donor expenditures, Emergency Response",Bilateral Grants Other in-donor expenditures Emergency Response (Provider),['CRS']
CRS.P.T.100.H.930,", Grants, Other in-donor expenditures, Refugees in Donor Countries",Bilateral Grants Other in-donor expenditures Refugees in Donor Countries (Provider),['CRS']
CRS.P.T.100.H.998,", Grants, Other in-donor expenditures, Unallocated / Unspecified",Bilateral Grants Other in-donor expenditures Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.100.X.100,", Grants, Modality not specified, Social infrastructure",Bilateral Grants Modality not specified Social infrastructure (Provider),['CRS']
CRS.P.T.100.X.110,", Grants, Modality not specified, Education",Bilateral Grants Modality not specified Education (Provider),['CRS']
CRS.P.T.100.X.120,", Grants, Modality not specified, Health",Bilateral Grants Modality not specified Health (Provider),['CRS']
CRS.P.T.100.X.150,", Grants, Modality not specified, Government & Civil Society",Bilateral Grants Modality not specified Government & Civil Society (Provider),['CRS']
CRS.P.T.100.X.160,", Grants, Modality not specified, Other Social Infrastructure & Services",Bilateral Grants Modality not specified Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.100.X.310,", Grants, Modality not specified, Agriculture, Forestry, Fishing","Bilateral Grants Modality not specified Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.100.X.410,", Grants, Modality not specified, General Environment Protection",Bilateral Grants Modality not specified General Environment Protection (Provider),['CRS']
CRS.P.T.100.X.720,", Grants, Modality not specified, Emergency Response",Bilateral Grants Modality not specified Emergency Response (Provider),['CRS']
CRS.P.T.100.X.910,", Grants, Modality not specified, Administrative Costs of Donors",Bilateral Grants Modality not specified Administrative Costs of Donors (Provider),['CRS']
CRS.P.T.100.X.998,", Grants, Modality not specified, Unallocated / Unspecified",Bilateral Grants Modality not specified Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.100.X.<NA>,", Grants, Modality not specified",Bilateral Grants Modality not specified (Provider),['CRS']
CRS.P.T.1000.C.230,", Guarantees and other unfunded contingent liabilities, Project-type interventions, Energy",Bilateral Guarantees and other unfunded contingent liabilities Project-type interventions Energy (Provider),['CRS']
CRS.P.T.1000.C.240,", Guarantees and other unfunded contingent liabilities, Project-type interventions, Banking & Financial Services",Bilateral Guarantees and other unfunded contingent liabilities Project-type interventions Banking & Financial Services (Provider),['CRS']
CRS.P.T.420.A.110,", Debt instruments, Budget support, Education",Bilateral Debt instruments Budget support Education (Provider),['CRS']
CRS.P.T.420.A.120,", Debt instruments, Budget support, Health",Bilateral Debt instruments Budget support Health (Provider),['CRS']
CRS.P.T.420.A.130,", Debt instruments, Budget support, Population Policies/Programmes & Reproductive Health",Bilateral Debt instruments Budget support Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.T.420.A.140,", Debt instruments, Budget support, Water Supply & Sanitation",Bilateral Debt instruments Budget support Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.420.A.150,", Debt instruments, Budget support, Government & Civil Society",Bilateral Debt instruments Budget support Government & Civil Society (Provider),['CRS']
CRS.P.T.420.A.160,", Debt instruments, Budget support, Other Social Infrastructure & Services",Bilateral Debt instruments Budget support Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.420.A.210,", Debt instruments, Budget support, Transport & Storage",Bilateral Debt instruments Budget support Transport & Storage (Provider),['CRS']
CRS.P.T.420.A.220,", Debt instruments, Budget support, Communications",Bilateral Debt instruments Budget support Communications (Provider),['CRS']
CRS.P.T.420.A.230,", Debt instruments, Budget support, Energy",Bilateral Debt instruments Budget support Energy (Provider),['CRS']
CRS.P.T.420.A.240,", Debt instruments, Budget support, Banking & Financial Services",Bilateral Debt instruments Budget support Banking & Financial Services (Provider),['CRS']
CRS.P.T.420.A.250,", Debt instruments, Budget support, Business & Other Services",Bilateral Debt instruments Budget support Business & Other Services (Provider),['CRS']
CRS.P.T.420.A.310,", Debt instruments, Budget support, Agriculture, Forestry, Fishing","Bilateral Debt instruments Budget support Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.420.A.320,", Debt instruments, Budget support, Industry, Mining, Construction","Bilateral Debt instruments Budget support Industry, Mining, Construction (Provider)",['CRS']
CRS.P.T.420.A.330,", Debt instruments, Budget support, Trade Policies & Regulations",Bilateral Debt instruments Budget support Trade Policies & Regulations (Provider),['CRS']
CRS.P.T.420.A.410,", Debt instruments, Budget support, General Environment Protection",Bilateral Debt instruments Budget support General Environment Protection (Provider),['CRS']
CRS.P.T.420.A.430,", Debt instruments, Budget support, Other Multisector",Bilateral Debt instruments Budget support Other Multisector (Provider),['CRS']
CRS.P.T.420.A.510,", Debt instruments, Budget support, General Budget Support",Bilateral Debt instruments Budget support General Budget Support (Provider),['CRS']
CRS.P.T.420.A.520,", Debt instruments, Budget support, Development Food Assistance",Bilateral Debt instruments Budget support Development Food Assistance (Provider),['CRS']
CRS.P.T.420.A.530,", Debt instruments, Budget support, Other Commodity Assistance",Bilateral Debt instruments Budget support Other Commodity Assistance (Provider),['CRS']
CRS.P.T.420.A.720,", Debt instruments, Budget support, Emergency Response",Bilateral Debt instruments Budget support Emergency Response (Provider),['CRS']
CRS.P.T.420.A.730,", Debt instruments, Budget support, Reconstruction Relief & Rehabilitation",Bilateral Debt instruments Budget support Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.T.420.A.740,", Debt instruments, Budget support, Disaster Prevention & Preparedness",Bilateral Debt instruments Budget support Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.T.420.B.110,", Debt instruments, Core contributions and pooled programmes and funds, Education",Bilateral Debt instruments Core contributions and pooled programmes and funds Education (Provider),['CRS']
CRS.P.T.420.B.120,", Debt instruments, Core contributions and pooled programmes and funds, Health",Bilateral Debt instruments Core contributions and pooled programmes and funds Health (Provider),['CRS']
CRS.P.T.420.B.140,", Debt instruments, Core contributions and pooled programmes and funds, Water Supply & Sanitation",Bilateral Debt instruments Core contributions and pooled programmes and funds Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.420.B.150,", Debt instruments, Core contributions and pooled programmes and funds, Government & Civil Society",Bilateral Debt instruments Core contributions and pooled programmes and funds Government & Civil Society (Provider),['CRS']
CRS.P.T.420.B.160,", Debt instruments, Core contributions and pooled programmes and funds, Other Social Infrastructure & Services",Bilateral Debt instruments Core contributions and pooled programmes and funds Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.420.B.220,", Debt instruments, Core contributions and pooled programmes and funds, Communications",Bilateral Debt instruments Core contributions and pooled programmes and funds Communications (Provider),['CRS']
CRS.P.T.420.B.230,", Debt instruments, Core contributions and pooled programmes and funds, Energy",Bilateral Debt instruments Core contributions and pooled programmes and funds Energy (Provider),['CRS']
CRS.P.T.420.B.240,", Debt instruments, Core contributions and pooled programmes and funds, Banking & Financial Services",Bilateral Debt instruments Core contributions and pooled programmes and funds Banking & Financial Services (Provider),['CRS']
CRS.P.T.420.B.310,", Debt instruments, Core contributions and pooled programmes and funds, Agriculture, Forestry, Fishing","Bilateral Debt instruments Core contributions and pooled programmes and funds Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.420.B.320,", Debt instruments, Core contributions and pooled programmes and funds, Industry, Mining, Construction","Bilateral Debt instruments Core contributions and pooled programmes and funds Industry, Mining, Construction (Provider)",['CRS']
CRS.P.T.420.C.110,", Debt instruments, Project-type interventions, Education",Bilateral Debt instruments Project-type interventions Education (Provider),['CRS']
CRS.P.T.420.C.120,", Debt instruments, Project-type interventions, Health",Bilateral Debt instruments Project-type interventions Health (Provider),['CRS']
CRS.P.T.420.C.130,", Debt instruments, Project-type interventions, Population Policies/Programmes & Reproductive Health",Bilateral Debt instruments Project-type interventions Population Policies/Programmes & Reproductive Health (Provider),['CRS']
CRS.P.T.420.C.140,", Debt instruments, Project-type interventions, Water Supply & Sanitation",Bilateral Debt instruments Project-type interventions Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.420.C.150,", Debt instruments, Project-type interventions, Government & Civil Society",Bilateral Debt instruments Project-type interventions Government & Civil Society (Provider),['CRS']
CRS.P.T.420.C.160,", Debt instruments, Project-type interventions, Other Social Infrastructure & Services",Bilateral Debt instruments Project-type interventions Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.420.C.210,", Debt instruments, Project-type interventions, Transport & Storage",Bilateral Debt instruments Project-type interventions Transport & Storage (Provider),['CRS']
CRS.P.T.420.C.220,", Debt instruments, Project-type interventions, Communications",Bilateral Debt instruments Project-type interventions Communications (Provider),['CRS']
CRS.P.T.420.C.230,", Debt instruments, Project-type interventions, Energy",Bilateral Debt instruments Project-type interventions Energy (Provider),['CRS']
CRS.P.T.420.C.240,", Debt instruments, Project-type interventions, Banking & Financial Services",Bilateral Debt instruments Project-type interventions Banking & Financial Services (Provider),['CRS']
CRS.P.T.420.C.250,", Debt instruments, Project-type interventions, Business & Other Services",Bilateral Debt instruments Project-type interventions Business & Other Services (Provider),['CRS']
CRS.P.T.420.C.310,", Debt instruments, Project-type interventions, Agriculture, Forestry, Fishing","Bilateral Debt instruments Project-type interventions Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.420.C.320,", Debt instruments, Project-type interventions, Industry, Mining, Construction","Bilateral Debt instruments Project-type interventions Industry, Mining, Construction (Provider)",['CRS']
CRS.P.T.420.C.330,", Debt instruments, Project-type interventions, Trade Policies & Regulations",Bilateral Debt instruments Project-type interventions Trade Policies & Regulations (Provider),['CRS']
CRS.P.T.420.C.410,", Debt instruments, Project-type interventions, General Environment Protection",Bilateral Debt instruments Project-type interventions General Environment Protection (Provider),['CRS']
CRS.P.T.420.C.430,", Debt instruments, Project-type interventions, Other Multisector",Bilateral Debt instruments Project-type interventions Other Multisector (Provider),['CRS']
CRS.P.T.420.C.510,", Debt instruments, Project-type interventions, General Budget Support",Bilateral Debt instruments Project-type interventions General Budget Support (Provider),['CRS']
CRS.P.T.420.C.520,", Debt instruments, Project-type interventions, Development Food Assistance",Bilateral Debt instruments Project-type interventions Development Food Assistance (Provider),['CRS']
CRS.P.T.420.C.530,", Debt instruments, Project-type interventions, Other Commodity Assistance",Bilateral Debt instruments Project-type interventions Other Commodity Assistance (Provider),['CRS']
CRS.P.T.420.C.600,", Debt instruments, Project-type interventions, Action Relating to Debt",Bilateral Debt instruments Project-type interventions Action Relating to Debt (Provider),['CRS']
CRS.P.T.420.C.720,", Debt instruments, Project-type interventions, Emergency Response",Bilateral Debt instruments Project-type interventions Emergency Response (Provider),['CRS']
CRS.P.T.420.C.730,", Debt instruments, Project-type interventions, Reconstruction Relief & Rehabilitation",Bilateral Debt instruments Project-type interventions Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.T.420.C.740,", Debt instruments, Project-type interventions, Disaster Prevention & Preparedness",Bilateral Debt instruments Project-type interventions Disaster Prevention & Preparedness (Provider),['CRS']
CRS.P.T.420.C.998,", Debt instruments, Project-type interventions, Unallocated / Unspecified",Bilateral Debt instruments Project-type interventions Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.420.D.120,", Debt instruments, Experts and other technical assistance, Health",Bilateral Debt instruments Experts and other technical assistance Health (Provider),['CRS']
CRS.P.T.420.F.600,", Debt instruments, Debt relief, Action Relating to Debt",Bilateral Debt instruments Debt relief Action Relating to Debt (Provider),['CRS']
CRS.P.T.420.H.930,", Debt instruments, Other in-donor expenditures, Refugees in Donor Countries",Bilateral Debt instruments Other in-donor expenditures Refugees in Donor Countries (Provider),['CRS']
CRS.P.T.420.H.998,", Debt instruments, Other in-donor expenditures, Unallocated / Unspecified",Bilateral Debt instruments Other in-donor expenditures Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.420.X.100,", Debt instruments, Modality not specified, Social infrastructure",Bilateral Debt instruments Modality not specified Social infrastructure (Provider),['CRS']
CRS.P.T.420.X.110,", Debt instruments, Modality not specified, Education",Bilateral Debt instruments Modality not specified Education (Provider),['CRS']
CRS.P.T.420.X.120,", Debt instruments, Modality not specified, Health",Bilateral Debt instruments Modality not specified Health (Provider),['CRS']
CRS.P.T.420.X.140,", Debt instruments, Modality not specified, Water Supply & Sanitation",Bilateral Debt instruments Modality not specified Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.420.X.150,", Debt instruments, Modality not specified, Government & Civil Society",Bilateral Debt instruments Modality not specified Government & Civil Society (Provider),['CRS']
CRS.P.T.420.X.160,", Debt instruments, Modality not specified, Other Social Infrastructure & Services",Bilateral Debt instruments Modality not specified Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.420.X.200,", Debt instruments, Modality not specified, Economic infrastructure",Bilateral Debt instruments Modality not specified Economic infrastructure (Provider),['CRS']
CRS.P.T.420.X.210,", Debt instruments, Modality not specified, Transport & Storage",Bilateral Debt instruments Modality not specified Transport & Storage (Provider),['CRS']
CRS.P.T.420.X.220,", Debt instruments, Modality not specified, Communications",Bilateral Debt instruments Modality not specified Communications (Provider),['CRS']
CRS.P.T.420.X.230,", Debt instruments, Modality not specified, Energy",Bilateral Debt instruments Modality not specified Energy (Provider),['CRS']
CRS.P.T.420.X.240,", Debt instruments, Modality not specified, Banking & Financial Services",Bilateral Debt instruments Modality not specified Banking & Financial Services (Provider),['CRS']
CRS.P.T.420.X.250,", Debt instruments, Modality not specified, Business & Other Services",Bilateral Debt instruments Modality not specified Business & Other Services (Provider),['CRS']
CRS.P.T.420.X.310,", Debt instruments, Modality not specified, Agriculture, Forestry, Fishing","Bilateral Debt instruments Modality not specified Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.420.X.320,", Debt instruments, Modality not specified, Industry, Mining, Construction","Bilateral Debt instruments Modality not specified Industry, Mining, Construction (Provider)",['CRS']
CRS.P.T.420.X.330,", Debt instruments, Modality not specified, Trade Policies & Regulations",Bilateral Debt instruments Modality not specified Trade Policies & Regulations (Provider),['CRS']
CRS.P.T.420.X.410,", Debt instruments, Modality not specified, General Environment Protection",Bilateral Debt instruments Modality not specified General Environment Protection (Provider),['CRS']
CRS.P.T.420.X.430,", Debt instruments, Modality not specified, Other Multisector",Bilateral Debt instruments Modality not specified Other Multisector (Provider),['CRS']
CRS.P.T.420.X.510,", Debt instruments, Modality not specified, General Budget Support",Bilateral Debt instruments Modality not specified General Budget Support (Provider),['CRS']
CRS.P.T.420.X.600,", Debt instruments, Modality not specified, Action Relating to Debt",Bilateral Debt instruments Modality not specified Action Relating to Debt (Provider),['CRS']
CRS.P.T.420.X.730,", Debt instruments, Modality not specified, Reconstruction Relief & Rehabilitation",Bilateral Debt instruments Modality not specified Reconstruction Relief & Rehabilitation (Provider),['CRS']
CRS.P.T.420.X.998,", Debt instruments, Modality not specified, Unallocated / Unspecified",Bilateral Debt instruments Modality not specified Unallocated / Unspecified (Provider),['CRS']
CRS.P.T.420.X.<NA>,", Debt instruments, Modality not specified",Bilateral Debt instruments Modality not specified (Provider),['CRS']
CRS.P.T.430.B.310,", Mezzanine finance instruments, Core contributions and pooled programmes and funds, Agriculture, Forestry, Fishing","Bilateral Mezzanine finance instruments Core contributions and pooled programmes and funds Agriculture, Forestry, Fishing (Provider)",['CRS']
CRS.P.T.430.C.140,", Mezzanine finance instruments, Project-type interventions, Water Supply & Sanitation",Bilateral Mezzanine finance instruments Project-type interventions Water Supply & Sanitation (Provider),['CRS']
CRS.P.T.430.C.160,", Mezzanine finance instruments, Project-type interventions, Other Social Infrastructure & Services",Bilateral Mezzanine finance instruments Project-type interventions Other Social Infrastructure & Services (Provider),['CRS']
CRS.P.T.430.C.210,", Mezzanine finance instruments, Project-type interventions, Transport & Storage",Bilateral Mezzanine finance instruments Project-type interventions Transport & Storage (Provider),['CRS']
CRS.P.T.430.C.220,", Mezzanine finance instruments, Project-type interventions, Communications",Bilateral Mezzanine finance instruments Project-type interventions Communications (Provider),['CRS']
CRS.P.T.430.C.230,", Mezzanine finance instruments, Project-type interventions, Energy",Bilateral Mezzanine finance instruments Project-type interventions Energy (Provider),['CRS']
CRS.P.T.430.C.240,", Mezzanine finance instruments, Project-type interventions, Banking & Financial Services",Bilateral Mezzanine finance instruments Project-type interventions Banking & Financial Services (Provider),['CRS']
CRS.P.T.430.C.250,", Mezzanine finance instruments, Project-type interventions, Business & Other Services",Bilateral Mezzanine finance instruments Project-type interventions Business & Other Services (Provider),['CRS']
CRS.P.T.430.C.310,", Mezzanine finance instruments, Project-type interventions, Agriculture, Forestry, Fishing","Bilateral Mezzanine finance instruments Project-type interventions Agriculture, Forestry, Fishing (Provider)",['CRS']
